type;question;answer;;;;;;;;;;;;;;;;;;;;;;
ООП;Что вы подразумеваете под полиморфизмом, инкапсуляцией и динамическим связыванием?;" Полиморфизм означает способность  переменно данного типа, которая  ссылается на объекты разных  типов, при этом вызывается  метод, характерный для конкретного  типа ссылки на объект. В чем преимущество полиморфизма? Он позволяет добавлять новые классы производных объектов, не нарушая  при этом код вызова. Также использование полиморфизма называют динамическим связыванием объектов.  <br>  Рассмотрим  пример полиморфизма: Имеется классы: Фигура, круг и треугольник. Круг  и треугольник наследуется от фигуры соответственно. Каждый  класс имеет метод ""рисовать"". В круге и треугольнике этот метод  переопределен. Так вот, создаем объект с типом ""Фигура"" и присваиваем ей ссылку на объект типа ""Круг"" и вызываем на этом объекте  метод ""рисовать"". В итоге вызывается метод класса ""Круг"", а не класса ""Фигура"" как ожидалось.  Фигура  ф = new Круг()  Ф.рисовать()   Также вместо класса родителя ""Фигура"" к  примеру можно использовать интерфейс ""Фигура"", определив там метод рисовать. Этот интерфейс мы имплементируем в классах ""Круг"" ""Треугольник"". Далее на интерфейсе создаем объект и присваиваем ему ссылку на объект какого-то из реализующих этот интерфейс классов. Это удобно например если у нас есть некий метод:  public void drawShape(Фигура ф){ ф.рисовать()  }  <br>  Обратите  внимание что в метод мы передаем параметр с типом интерфейса, т.е. мы не знаем какой именно тип объекта будем, но реализация будет таже. Далее мы можем просто создать еще класс, к примеру ""Трапеция"", имплементировать и имплементировать интерфейс ""Фигура"" и просто передать экземпляр класса в метод, ничего не меняя в реализации и вызове. Наследование  это включение поведения(методы) и состояния(поля) базового класса в производный от него. В результате этого мы избегаем дублирования кода и процесс исправления ошибок в коде также упрощается.   <br>В джава есть два вида наследования:      наследование классов. Каждый  наследник может иметь толко одного родителя.     наследование  интерфейсов. Интерфейс может  иметь сколько угодно родителей.  Некоторые тонкие ньюансы по поводу наследования интрефейсов и классов. Мы  имеем два интерфейса с одинаковыми  по имени полями. Имплементируем эти  интерфейсы на каком-то классе. Как нам вызвать поля этих интерфейсов? У нас неоднозначность. Необходимо  объект класса привести к нужному  интерфейсу. Класс к = new Класс()  ((Интефейс1) к).поле     <br>  Хорошо, что будет если мы имеем метод с одинаковой сигнатурой в интерфейсах и реализуем эти интерфейсы на классе. Как нам в классе реализовать два метода с одинаковой сигнатурой??? Ответ: никак, мы просто реализовываем один общий метод в классе. Это является недостатком, так как нам  может потребоваться разная реализация.  И третий случай: У нас есть класс  и интерфейс с одинаковым по сигнатуре  методом. Мы наследуемся от этого  класса и имплементируем этот интерфейс. Что нам нужно делать? ведь необходимо реализовать метод интерфейса по всем правилам. И вот тут интересно, компилятор не выдает ошибок, так как метод уже  у нас реализован в классе родителе.";;;;;;;;;;;;;;;;;;;;;;
Java core.;Чем отличается JRE, JVM и JDK?; JRE кратко - для работы. Java Runtime Environment (сокр. JRE) - минимальная реализация виртуальной машины, необходимая для исполнения Java-приложений, без компилятора и других средств разработки. Состоит из виртуальной машины - Java Virtual Machine и библиотеки Java-классов. JDK кратко - для программирования. Java Development Kit (сокращенно JDK) - бесплатно распространяемый компанией Oracle Corporation (ранее Sun Microsystems) комплект разработчика приложений на языке Java, включающий в себя компилятор Java (javac), стандартные библиотеки классов Java, примеры, документацию, различные утилиты и исполнительную систему Java (JRE). Java Virtual Machine (сокращенно Java VM, JVM) - виртуальная машина Java - основная часть исполняющей системы Java, так называемой Java Runtime Environment (JRE). Виртуальная машина Java интерпретирует Байт-код Java, предварительно созданный из исходного текста Java-программы компилятором Java (javac). JVM может также использоваться для выполнения программ, написанных на других языках программирования.;;;;;;;;;;;;;;;;;;;;;;
Java core.;Опишите модификаторы доступа в Java.;В Java существуют следующие модификаторы доступа:    <br>private: (используется конструкторах, внутренних классах, методах и полях класса) - Доступ разрешен только в текущем классе.      <br>default (package-private): (используется в классах, конструкторах, интерфейсах, внутренних классах, методах и полях класса) - Доступ на уровне пакета. Если класс будет так объявлен он будет доступен только внутри пакета.      <br>protected: (используется конструкторах, внутренних классах, методах и полях класса) Модификатор доступа на уровне пакета и в иерархии наследования.      <br>public: (используется в классах, конструкторах, интерфейсах, внутренних классах, методах и полях класса) - Модификатор доступа общественный, доступен всем.   Последовательность модификаторов по убыванию уровня закрытости: private, default ,protected, public).  ;;;;;;;;;;;;;;;;;;;;;;
Java core.;Что такое package level access.; Доступ из классов одного package-а в классы другого package-a.;;;;;;;;;;;;;;;;;;;;;;
Java core.;Чем абстрактный клас отличается от интерфейса? В каких случаях Вы бы использовали абстрактный класс, а в каких интерфейс?;"Абстрактный класс это класс, который помечен как ""abstract"", он может содержать абстрактные методы, а может их и не содержать.   Экземпляр абстрактного класса нельзя создать. Класс, который наследуется от абстрактного класса может реализовывать абстрактные методы, а может и не реализовывать, тогда класс наследник должен быть тоже абстрактным. Также если класс наследник переопределяет реализованный в абстрактном классе родители метод, его можно переопределить с модификатором абстракт! Т.е отказаться от реализации. Соответственно данный класс должен быть также абстрактным также.  <br>Что касается интерфейса, то в нем находятся только абстрактные методы и константы, так было до выхода Java 8. Начиная с Java 8 кроме абстрактных методов мы также можем использовать в интерфейсах стандартные методы (default methods) и статические методы (static methods). <br>Default метод в интерфейсе - это метод в интерфейсе с по умолчанию реализованной логикой, который не требуется обязательно определять в реализации этого интерфейса.  <br>Static методы в интерфейсе - это по существу то же самое, что static-методы в абстрактном классе.  При реализации интерфейса, класс обязан реализовать все методы интерфейса. Иначе класс должен быть помечен как абстрактный. Интерфейс также может содержать внутренние классы. И не абстрактные методы в них. Что же использовать Интерфейс или Абстрактный класс? Абстрактный класс используется когда нам нужна какая-то реализация по умолчанию. Интерфейс используется когда классу нужно указать конкретное поведение. Часто интерфейс и абстрактный класс комбинируют, т.е. имплементируют интерфейс в абстрактном классе, чтоб указать поведение и реализацию по умолчанию. Это хорошо видно на примере свига: Мы создаем свою модель таблицы с определенным поведением и уже с реализацией по умолчанию.  ВАЖНО! При реализации интерфейса, необходимо реализовать все его методы, иначе будет Fatal error, так же это можно избежать, присвоив слово abstract. ";;;;;;;;;;;;;;;;;;;;;;
Java core.;Может ли объект получить доступ к private-переменной класса? Если, да, то каким образом?;Вообще доступ у приватной переменной класса можно получить только внутри класса, в котором она объявлена. Также доступ к приватным переменным можно осуществить через механизм Java Reflection API.;;;;;;;;;;;;;;;;;;;;;;
Java core.;Для чего в джаве статические блоки?;Статические блоки в джава выполняются до выполнения конструктора, с помощью них инициализируют статические поля к примеру. Еще один ньюанс, блок статической инициализации может создаваться сам при компиляции программы:;;;;;;;;;;;;;;;;;;;;;;
Java core.;Можно ли перегрузить static метод?;Статические методы могут перегружаться нестатическими и наоборот - без ограничений. А вот в переопределении статического метода смысла нет.;;;;;;;;;;;;;;;;;;;;;;
Java core.;Расскажите про внутренние классы. Когда вы их будете использовать?;Внутренний  класс - это класс, который  находится внутри класса или интерфейса. При этом он получает доступ ко всем полям и методам своего внешнего класса.  Для чего он может применятся? Например чтоб обеспечить какую-то дополнительную логику класса. Хотя использование внутренних классов усложняет программу, рекомендуется избегать их использование.;;;;;;;;;;;;;;;;;;;;;;
Java core.;В чем разница между переменной экземпляра и статической переменной? Приведите пример.;Статические переменные инициализируются при загрузке класса класслодером, и не зависят от объекта. Переменная экземпляра инициализируется при создании класса. Пример: Например нам нужна глобальная переменная для всех объектов класс, например число посещений пользователей определенной статьи в интернете. При каждом новом посещении статьи создается новый объект и инкрементируется переменная посещений.;;;;;;;;;;;;;;;;;;;;;;
Java core.;Приведите пример когда можно использовать статический метод?;Статические методы могут быть использованы для  инициализации статических переменных. Часто статические методы используются в классах утилитах, таких как  Collections, Math, Arrrays;;;;;;;;;;;;;;;;;;;;;;
Java core.;Расскажите про классы- загрузчики и про динамическую зарузку классов.;"Любой класс, используемый в джава программу так или иначе был загружен в контекст программы каким-то загрузчиком. Все виртуальные машины джава включают хотябы один загрузчик классов, так называем базовый загрузчик. Он загружает все основные классы, это классы из rt.jar. Интересно то, что этот загрузчик никак не связан с программой, тоесть мы не можем получить например у java.lang.Object имя зарузчика, метод getClassLoader() вернет нам null.   <br> Следующий загрузчик - это  загрузчик расширений, он загружает  классы из $JAVA_HOME/lib/ext.   <br> Далее по иерархии идет системный  загрузчик, он загружает классы, путь к которым указан в переменно класпас.   <br> Для примера предположим что у нас есть некий пользовательский класс MyClass и мы его используем. Как идет его загрузка… : <br>Сначала системный загрузчик пытается найти  его в своем кэше загрузок его, если найден - класс успешно загружается, иначе управление загрузкой передается загрузчику расширений, он также проверяет  свой кэш загрузок и в случае неудачи  передает задачу базовому загрузчику. Тот проверяет кэш и в случае неудачи пытается его загрузить, если загрузка прошла успешно -  загрузка закончена. Если нет - передает управление загрузчику расширений. Загрузчик  расширений пытается загрузить класс  и в случае неудачи передает это  дело системному загрузчику. Системный  загрузчик пытается загрузить класс  и в случае неудачи возбуждается исключение java.lang.ClassNotFoundException.   <br> Вот так работает загрузка классов в  джава. Так называемое делегирование загрузки.   Если  в системе присутствуют пользовательские загрузики, то они должны быть унаследованы от класса java.lang.ClassLoader .<br> Что же такое статическая и что  такое динамическая загрузка класса?   Статическая загрузка класса происходит при использовании  оператора ""new"".   <br>Динамическая  загрузка происходит ""на лету"" в  ходе выполнения программы с помощью  статического метода класса Class.forName(имя класса). Для чего нужна динамическая загрузка? Например мы не знаем какой класс нам понадобится и принимаем решение в ходе выполнения программы передавая имя класса в статический метод forName().";;;;;;;;;;;;;;;;;;;;;;
Java core.;Что такое статическая и что такое динамическая загрузка класса?;;;;;;;;;;;;;;;;;;;;;;;
Java core.;"Для чего нужен оператор ""assert"" в джава?";" Это так называемый оператор  утверждений. Он проверяет некое  условие, если оно ложно, то  генерируется AssertationError assert status: ""message error""  Тут проверяется булевская переменная ""status"".";;;;;;;;;;;;;;;;;;;;;;
Java core.;Почему в некоторых интерфейсах вообще не определяют методов?;Это так называемые интерфейсы - маркеры. Они просто указывают что класс относится к определенной группе классов. Например интерфейс Clonable указывает на то, что класс поддерживает механизм клонирования. Степень абстракции в данном случае доведен до абсолюта. В интерфейсе вообще нет никаких объявлений. Интерфейси-маркери в Java:      Searilizable interface     Cloneable interface     Remote interface     ThreadSafe interface  ;;;;;;;;;;;;;;;;;;;;;;
Java core.;Какая основная разница между String, StringBuffer, StringBuilder?;String - неизменяемый класс, тоесть для для добавление данных в уже существующую строку, создается новый объект строки. StringBuffer и StringBuilder могут изменятся и добавление строки не такое дорогостоющее с точки зрения памяти. Первы - синхронизированный, второй - нет. Это их единственное различие. Правда  если нам нужно сделать подстроку  строки, то лучше использовать String, так как ее массив символов не меняется и не создается заново для новой строки. А вот в StringBuffer и StringBuilder для создания подстроки создается новый массив символов.  ;;;;;;;;;;;;;;;;;;;;;;
Java core.;Расскажите про потоки ввода-вывода Java.;"Потоки  ввода-вывода бывают двух видов:      байтовый поток(InputStream и OutputStream)      символный поток(Reader и Writer)   Это все абстрактные классы - декораторы, которым можно добавлять дополнительный функционал, например: InputStream in = new FileInputStream(new File(""file.txt"")) ";;;;;;;;;;;;;;;;;;;;;;
Java core.;Что такое Heap и Stack память в Java?;" Java Heap (куча)  - динамически распредляемая область памяти, создаваемая при старте JVM. Используется Java Runtime для выделения памяти под объекты и JRE классы. Создание нового объекта также происходит в куче. Здесь работает сборщик мусора: освобождает память путем удаления объектов, на которые нет каких-либо ссылок. Любой объект, созданный в куче, имеет глобальный доступ и на него могут ссылаться с любой части приложения. Cтрогими тезами:      Все обьекты обитают в куче и попадают туда при создании.     обьект состоит из полей класса и методов.     в куче выделяется место под сам обьект, количество выделенной памяти зависит от полей, если у тебя полем класса, к примеру, служит интовая переменная, то не важно, инициализируешь ты ее как ""0"" или как ""1000000"" - обьект займет в куче свои биты, + столько байт сколько вмещает тип int(+32 бита), и так с каждым полем.  Стековая память в Java работает по схеме LIFO (Последний-зашел-Первый-вышел). Всякий раз, когда вызывается метод, в памяти стека создается новый блок, который содержит примитивы и ссылки на другие объекты в методе расположение в RAM и достижение процессору через указатель стека. Как только метод заканчивает работу, блок также перестает использоваться, тем самым предоставляя доступ для следующего метода. Размер стековой памяти намного меньше объема памяти в куче. Cтрогими тезами:      Все методы обитают в стеке и попадают туда при вызове.     Переменные в методах так же имеют стековую память, по скольку они локальные.     Если в методе создается обьект, то он помещается в кучу, но его ссылка все еще будет находится в стеке и после того как метод покинет стек - обьект станет жертвой сборщика мусора, так как ссылка на него утеряна, и из главного стека программы невозможно будет добраться до такого обьекта.   ";;;;;;;;;;;;;;;;;;;;;;
Java core.;Какая разница между Stack и Heap памятью в Java?; Приведем следующие различия между Heap и Stack памятью в Java.      Куча используется всеми частями приложения в то время как стек используется только одним потоком исполнения программы.     Всякий раз, когда создается объект, он всегда хранится в куче, а в памяти стека содержится ссылка на него. Память стека содержит только локальные переменные примитивных типов и ссылки на объекты в куче.     Объекты в куче доступны с любой точки программы, в то время как стековая память не может быть доступна для других потоков.     Управление памятью в стеке осуществляется по схеме LIFO.     Стековая память существует лишь какое-то время работы программы, а память в куче живет с самого начала до конца работы программы.     Мы можем использовать -Xms и -Xmx опции JVM, чтобы определить начальный и максимальный размер памяти в куче. Для стека определить размер памяти можно с помощью опции -Xss .     Если память стека полностью занята, то Java Runtime бросает java.lang.StackOverflowError, а если память кучи заполнена, то бросается исключение java.lang.OutOfMemoryError: Java Heap Space.     Размер памяти стека намного меньше памяти в куче. Из-за простоты распределения памяти (LIFO), стековая память работает намного быстрее кучи. ;;;;;;;;;;;;;;;;;;;;;;
Java core.;Расскажите про модель памяти в джава?; В Джаве память устроена следующим  образом, есть два вида:      куча     стек  Куча  состоит из статического контекста  и самой кучи Перейдем  к куче. Куча состоит из двух частей:      Новая куча     Старая куча  Новая куча в свою очередь состоит из двух частей:      Eden(назовем ее первая) куча     Survival(выжившая) куча  Краткое описание:      Eden Space (heap) - в этой области выделятся память под все создаваемые из программы объекты. Большая часть объектов живет недолго (итераторы, временные объекты, используемые внутри методов и т.п.), и удаляются при выполнении сборок мусора это области памяти, не перемещаются в другие области памяти. Когда данная область заполняется (т.е. количество выделенной памяти в этой области превышает некоторый заданный процент), GC выполняет быструю (minor collection) сборку мусора. По сравнению с полной сборкой мусора она занимает мало времени, и затрагивает только эту область памяти - очищает от устаревших объектов Eden Space и перемещает выжившие объекты в следующую область.      Survivor Space (heap) – сюда перемещаются объекты из предыдущей, после того, как они пережили хотя бы одну сборку мусора. Время от времени долгоживущие объекты из этой области перемещаются в Tenured Space.     Tenured (Old) Generation (heap) - Здесь скапливаются долгоживущие объекты (крупные высокоуровневые объекты, синглтоны, менеджеры ресурсов и проч.). Когда заполняется эта область, выполняется полная сборка мусора (full, major collection), которая обрабатывает все созданные JVM объекты.     Permanent Generation (non-heap) - Здесь хранится метаинформация, используемая JVM (используемые классы, методы и т.п.).    ;;;;;;;;;;;;;;;;;;;;;;
Java core.;Как работает сборщик мусора (garbage collector)?; Во-первых что стоит сказать, что у сборщика мусора есть несколько алгоритмов работы, он не один. Когда происходит очистка памяти? Если память в Первой куче полностью заполнена, то туда идет сборщик мусора и делает свою работу) Какую именно, зависит  от обстоятельств… Например если в  первой кучи много мусора(т.е. объектов с нулевой ссылкой), то сборщик мусора помечает эти объекты, далее те что остались объекты со ссылками он их переносит в Выжившую кучу, а в первой куче он просто все удаляет.  Ситуация  другая, в первой кучи мало мусора, но очень много рабочих объектов. Как поступает в этом случае сборщик  мусора? Он  помечает мусор, удаляет его и  оставшиеся объекты компонует. Также следует заметить что при нехватке места в Выжившей куче, объекты  переносятся в старую кучу, там  хранятся как правило долго живущие объекты. Также следует заметить что сборщик мусора вызывается сам периодически, а не только когда памяти не хватает.;;;;;;;;;;;;;;;;;;;;;;
Java core.;Расскажите про приведение типов. Что такое понижение и повышение типа? Когда вы получаете ClassCastException?; Приведение  типов это установка типа переменной или объекта отличного от текущего. В ждава есть два вида приведения:      автоматическое     не автоматическое  Автоматическое  происходит например: byte-> short->int->long->float->double тоесть если мы расширяем тип, то явное преобразование не требуется, приведение происходит автоматически. Если же мы сужаем, то необходимо явно указывать приведение типа. В случае же с объектами, то мы можем  сделать автоматическое приведение от наследника к родителю, но никак  не наоборот, тогда вылетит ClassCastException.;;;;;;;;;;;;;;;;;;;;;;
Java core.;Что такое статический класс, какие особенности его использования?; Статическим классом может быть только внутренний клас(определение класса размещается внутри другого класса). В объекте обычного внутреннего класса хранится ссылка на объект внешнего класса. Внутри статического внутреннего класса такой ссылки нет. То есть: Для создания объекта статического внутреннего класса не нужен объект внешнего класса. Из объекта статического вложенного класса нельзя обращаться к нестатическим членам внешнего класса напрямую. И еще обычные внутренние классы не могут содержать статические методы и члены. Зачем вообще нужны внутренние классы? – Каждый внутренний класс способен независимо  наследовать определенную реализацию. Таким образом внутренний класс не ограничен при наследовании в ситуациях, когда внешний класс уже наследует реализацию. То есть это как бы вариант решения проблемы множественного наследования.;;;;;;;;;;;;;;;;;;;;;;
